Graphname,Algorithmus,Startecke,Anzahl der Ecken,IO Writes,IO Reads,Runtime in ms,Gefundener Weg,Kosten
graph_10,mddek,a1,42,0,48543133,,"[a1, a22, a21, a19, a13, a9, a11, a18, a32, a26, a5, a16, a20, a7, a14, a2, a15, a27, a12, a25, a41, a42, a37, a36, a24, a34, a40, a39, a10, a28, a6, a33, a17, a31, a23, a30, a38, a3, a4, a29, a8, a35, a1]",625
graph_10,mddek,a2,42,0,48581018,,"[a2, a1, a22, a21, a31, a19, a11, a26, a8, a6, a10, a28, a17, a24, a18, a32, a13, a9, a27, a3, a34, a16, a20, a7, a14, a38, a42, a41, a25, a33, a30, a5, a12, a37, a36, a4, a29, a35, a39, a40, a23, a15, a2]",653
graph_10,mddek,a3,42,0,48618903,,"[a3, a4, a21, a22, a1, a35, a42, a24, a34, a27, a30, a31, a39, a28, a6, a16, a19, a11, a9, a13, a32, a18, a7, a10, a2, a5, a38, a14, a26, a20, a23, a15, a12, a29, a40, a33, a25, a8, a41, a17, a36, a37, a3]",582
graph_10,mddek,a4,42,0,48656788,,"[a4, a42, a41, a25, a27, a14, a33, a30, a5, a21, a12, a37, a8, a2, a15, a29, a22, a1, a35, a31, a40, a34, a36, a38, a18, a7, a39, a10, a28, a6, a16, a19, a11, a3, a9, a13, a32, a17, a24, a26, a23, a20, a4]",631
graph_10,mddek,a5,42,0,48694673,,"[a5, a30, a38, a18, a7, a20, a17, a27, a14, a2, a15, a23, a34, a3, a24, a36, a37, a42, a41, a25, a8, a11, a33, a31, a40, a39, a35, a1, a22, a21, a10, a4, a29, a28, a9, a13, a12, a32, a26, a6, a19, a16, a5]",577
graph_10,mddek,a6,42,0,48732558,,"[a6, a28, a10, a39, a40, a34, a3, a24, a8, a37, a42, a25, a12, a27, a15, a2, a14, a7, a20, a16, a5, a26, a32, a18, a11, a9, a13, a19, a29, a4, a21, a22, a1, a35, a41, a17, a36, a38, a30, a23, a31, a33, a6]",577
graph_10,mddek,a7,42,0,48770443,,"[a7, a39, a28, a6, a16, a19, a11, a9, a13, a32, a18, a38, a42, a41, a25, a27, a14, a33, a30, a5, a12, a37, a15, a29, a4, a21, a22, a1, a35, a8, a31, a36, a40, a34, a3, a24, a17, a10, a2, a26, a23, a20, a7]",566
graph_10,mddek,a8,42,0,48808328,,"[a8, a6, a13, a9, a16, a34, a24, a17, a28, a39, a36, a40, a42, a41, a25, a27, a15, a12, a37, a14, a2, a10, a7, a20, a23, a26, a32, a18, a11, a33, a30, a5, a38, a3, a4, a29, a19, a31, a21, a22, a1, a35, a8]",561
graph_10,mddek,a9,42,0,48846213,,"[a9, a16, a34, a23, a15, a12, a29, a4, a21, a22, a1, a35, a40, a33, a11, a3, a19, a31, a14, a2, a25, a41, a13, a42, a37, a36, a24, a17, a28, a10, a39, a7, a20, a26, a8, a6, a27, a30, a5, a38, a18, a32, a9]",632
graph_10,mddek,a10,42,0,48884098,,"[a10, a24, a6, a16, a19, a13, a9, a3, a11, a18, a32, a26, a23, a20, a7, a39, a37, a8, a25, a12, a27, a15, a2, a14, a31, a33, a30, a5, a38, a34, a40, a36, a17, a41, a42, a35, a1, a22, a21, a4, a29, a28, a10]",618
graph_10,mddek,a11,42,0,48921983,,"[a11, a18, a32, a26, a20, a7, a10, a2, a14, a37, a12, a15, a27, a25, a42, a40, a36, a39, a28, a17, a24, a3, a34, a16, a9, a6, a33, a31, a23, a30, a5, a38, a13, a41, a8, a35, a1, a22, a21, a4, a29, a19, a11]",592
graph_10,mddek,a12,42,0,48959868,,"[a12, a1, a22, a24, a34, a28, a6, a16, a19, a13, a9, a11, a18, a32, a26, a23, a20, a7, a10, a39, a37, a8, a25, a27, a15, a2, a14, a31, a33, a5, a30, a21, a4, a3, a38, a40, a36, a17, a41, a42, a35, a29, a12]",637
graph_10,mddek,a13,42,0,48997753,,"[a13, a6, a28, a4, a10, a21, a23, a39, a36, a41, a25, a19, a11, a33, a17, a31, a30, a5, a12, a37, a8, a35, a1, a22, a24, a42, a40, a29, a15, a27, a3, a34, a16, a20, a26, a2, a14, a38, a7, a18, a32, a9, a13]",584
graph_10,mddek,a14,42,0,49035638,,"[a14, a2, a10, a7, a20, a16, a5, a12, a18, a38, a42, a41, a25, a33, a40, a39, a23, a31, a8, a35, a1, a22, a21, a4, a29, a36, a37, a30, a27, a15, a34, a3, a24, a17, a28, a6, a19, a11, a9, a13, a32, a26, a14]",530
graph_10,mddek,a15,42,0,49073523,,"[a15, a2, a14, a7, a20, a16, a34, a40, a39, a23, a31, a35, a1, a22, a21, a10, a4, a29, a36, a37, a12, a5, a30, a33, a11, a19, a25, a41, a42, a38, a18, a24, a17, a28, a6, a8, a26, a32, a13, a9, a3, a27, a15]",534
graph_10,mddek,a16,42,0,49111408,,"[a16, a19, a6, a28, a39, a26, a24, a18, a38, a42, a37, a12, a5, a21, a22, a1, a35, a31, a40, a36, a17, a33, a11, a8, a25, a41, a13, a32, a9, a3, a27, a14, a2, a10, a7, a20, a23, a30, a4, a29, a15, a34, a16]",535
graph_10,mddek,a17,42,0,49149293,,"[a17, a20, a26, a2, a14, a38, a7, a18, a32, a13, a9, a11, a19, a16, a6, a27, a15, a23, a30, a5, a12, a37, a8, a35, a1, a22, a21, a4, a29, a28, a10, a39, a42, a40, a34, a3, a24, a36, a31, a33, a25, a41, a17]",573
graph_10,mddek,a18,42,0,49187178,,"[a18, a38, a5, a30, a27, a6, a8, a26, a20, a7, a39, a10, a28, a17, a24, a36, a37, a42, a41, a25, a2, a14, a31, a19, a3, a11, a33, a40, a35, a1, a22, a21, a4, a29, a12, a15, a23, a34, a16, a9, a13, a32, a18]",619
graph_10,mddek,a19,42,0,49225063,,"[a19, a29, a4, a21, a22, a1, a35, a8, a41, a13, a38, a5, a30, a23, a31, a33, a6, a9, a16, a34, a3, a24, a17, a28, a39, a36, a40, a42, a25, a27, a15, a12, a37, a14, a2, a10, a7, a20, a26, a32, a18, a11, a19]",592
graph_10,mddek,a20,42,0,49262948,,"[a20, a23, a26, a2, a10, a17, a24, a3, a34, a40, a36, a31, a8, a35, a1, a22, a21, a4, a29, a15, a37, a12, a5, a30, a33, a14, a27, a25, a41, a42, a38, a18, a32, a13, a9, a11, a19, a16, a6, a28, a39, a7, a20]",566
graph_10,mddek,a21,42,0,49300833,,"[a21, a9, a11, a18, a32, a23, a26, a5, a16, a20, a7, a14, a2, a15, a27, a12, a25, a42, a37, a8, a24, a34, a40, a39, a10, a28, a6, a33, a30, a38, a13, a41, a17, a36, a35, a1, a22, a3, a4, a29, a19, a31, a21]",595
graph_10,mddek,a22,42,0,49338718,,"[a22, a30, a5, a18, a32, a13, a9, a27, a15, a29, a12, a37, a3, a1, a35, a31, a40, a36, a17, a33, a11, a8, a25, a41, a42, a38, a14, a2, a10, a7, a20, a26, a39, a23, a21, a4, a28, a6, a19, a16, a34, a24, a22]",564
graph_10,mddek,a23,42,0,49376603,,"[a23, a21, a10, a4, a20, a16, a15, a29, a40, a36, a31, a33, a25, a41, a42, a13, a22, a1, a35, a8, a37, a12, a5, a30, a27, a3, a34, a24, a17, a28, a6, a19, a11, a9, a32, a18, a7, a38, a14, a2, a26, a39, a23]",629
graph_10,mddek,a24,42,0,49414488,,"[a24, a17, a28, a6, a8, a26, a32, a13, a9, a3, a27, a15, a2, a14, a7, a20, a16, a5, a18, a38, a42, a41, a25, a12, a19, a11, a33, a30, a37, a36, a29, a4, a10, a21, a22, a1, a35, a31, a23, a39, a40, a34, a24]",537
graph_10,mddek,a25,42,0,49452373,,"[a25, a33, a34, a24, a22, a1, a35, a42, a37, a12, a21, a5, a30, a31, a23, a39, a10, a28, a6, a16, a19, a11, a9, a13, a32, a18, a7, a38, a14, a27, a26, a20, a4, a3, a8, a2, a15, a29, a40, a36, a17, a41, a25]",622
graph_10,mddek,a26,42,0,49490258,,"[a26, a32, a9, a7, a10, a2, a14, a38, a36, a40, a41, a42, a13, a22, a1, a35, a31, a30, a5, a21, a12, a37, a39, a8, a3, a4, a28, a6, a33, a25, a27, a17, a24, a18, a11, a19, a29, a15, a23, a34, a16, a20, a26]",635
graph_10,mddek,a27,42,0,49528143,,"[a27, a17, a28, a6, a19, a11, a3, a9, a13, a32, a26, a24, a18, a38, a42, a41, a25, a33, a30, a5, a12, a37, a36, a29, a4, a10, a21, a22, a1, a35, a8, a31, a23, a39, a40, a34, a16, a20, a7, a14, a2, a15, a27]",519
graph_10,mddek,a28,42,0,49566028,,"[a28, a29, a4, a21, a22, a1, a35, a42, a41, a36, a40, a34, a38, a5, a30, a33, a31, a14, a2, a15, a27, a12, a25, a8, a37, a39, a10, a7, a20, a23, a26, a32, a17, a24, a18, a11, a3, a9, a13, a19, a16, a6, a28]",605
graph_10,mddek,a29,42,0,49603913,,"[a29, a4, a21, a22, a1, a35, a41, a17, a36, a38, a30, a23, a31, a33, a6, a28, a10, a39, a40, a34, a3, a24, a8, a37, a42, a25, a12, a27, a15, a2, a14, a7, a20, a16, a5, a26, a32, a18, a11, a9, a13, a19, a29]",577
graph_10,mddek,a30,42,0,49641798,,"[a30, a5, a38, a36, a31, a23, a34, a40, a39, a10, a28, a6, a16, a9, a13, a19, a29, a4, a21, a22, a1, a35, a42, a41, a25, a12, a27, a15, a2, a8, a37, a3, a14, a7, a20, a26, a32, a17, a24, a18, a11, a33, a30]",651
graph_10,mddek,a31,42,0,49679683,,"[a31, a33, a30, a5, a12, a37, a36, a38, a13, a41, a8, a35, a1, a22, a21, a4, a29, a15, a23, a34, a3, a27, a9, a11, a18, a24, a17, a32, a26, a20, a7, a10, a2, a14, a25, a42, a40, a39, a28, a6, a16, a19, a31]",545
graph_10,mddek,a32,42,0,49717568,,"[a32, a18, a38, a5, a30, a27, a6, a8, a26, a20, a7, a39, a10, a28, a17, a24, a36, a37, a42, a13, a41, a25, a2, a14, a31, a19, a3, a11, a33, a40, a35, a1, a22, a21, a4, a29, a12, a15, a23, a34, a16, a9, a32]",632
graph_10,mddek,a33,42,0,49755453,,"[a33, a31, a23, a30, a38, a36, a17, a41, a35, a1, a22, a21, a4, a29, a19, a13, a9, a11, a18, a32, a26, a5, a16, a20, a7, a14, a2, a15, a27, a12, a25, a42, a37, a8, a24, a3, a34, a40, a39, a10, a28, a6, a33]",577
graph_10,mddek,a34,42,0,49793338,,"[a34, a40, a39, a23, a31, a8, a35, a1, a22, a21, a10, a4, a29, a36, a37, a30, a33, a25, a41, a42, a38, a18, a12, a5, a16, a20, a7, a14, a2, a15, a27, a17, a28, a6, a19, a11, a3, a9, a13, a32, a26, a24, a34]",537
graph_10,mddek,a35,42,0,49831223,,"[a35, a8, a29, a4, a3, a38, a30, a23, a31, a17, a33, a6, a28, a10, a39, a40, a34, a24, a36, a37, a42, a41, a25, a12, a27, a15, a2, a14, a7, a20, a16, a5, a26, a32, a18, a11, a9, a13, a19, a21, a22, a1, a35]",625
graph_10,mddek,a36,42,0,49869108,,"[a36, a17, a41, a25, a33, a40, a29, a15, a27, a34, a16, a20, a26, a2, a14, a38, a7, a18, a32, a9, a11, a19, a6, a28, a10, a4, a3, a8, a39, a23, a21, a5, a30, a31, a35, a1, a22, a12, a13, a42, a24, a37, a36]",660
graph_10,mddek,a37,42,0,49906993,,"[a37, a8, a24, a42, a13, a12, a22, a1, a35, a31, a30, a5, a21, a10, a39, a28, a6, a16, a19, a2, a11, a3, a9, a32, a18, a7, a38, a14, a27, a26, a20, a4, a23, a15, a29, a40, a34, a33, a25, a41, a17, a36, a37]",728
graph_10,mddek,a38,42,0,49944878,,"[a38, a14, a2, a7, a18, a32, a13, a9, a16, a5, a10, a28, a17, a27, a15, a34, a40, a39, a31, a35, a1, a22, a21, a4, a29, a36, a37, a30, a23, a20, a26, a24, a8, a6, a33, a11, a3, a19, a12, a25, a41, a42, a38]",572
graph_10,mddek,a39,42,0,49982763,,"[a39, a10, a7, a20, a23, a26, a2, a14, a38, a18, a32, a9, a11, a19, a16, a6, a8, a31, a27, a30, a5, a21, a12, a37, a15, a29, a4, a28, a34, a3, a24, a42, a13, a22, a1, a35, a41, a25, a33, a17, a36, a40, a39]",632
graph_10,mddek,a40,42,0,50020648,,"[a40, a33, a25, a41, a8, a35, a1, a22, a21, a4, a29, a15, a23, a34, a16, a20, a26, a2, a14, a38, a7, a18, a24, a17, a27, a32, a13, a9, a3, a11, a19, a6, a28, a10, a39, a36, a37, a12, a5, a30, a31, a42, a40]",594
graph_10,mddek,a41,42,0,50058533,,"[a41, a25, a33, a40, a29, a15, a23, a34, a16, a20, a26, a2, a14, a38, a7, a18, a24, a17, a27, a32, a9, a11, a19, a6, a28, a10, a4, a3, a8, a39, a36, a37, a12, a21, a5, a30, a31, a35, a1, a22, a13, a42, a41]",661
graph_10,mddek,a42,42,0,50096418,,"[a42, a41, a25, a12, a19, a3, a11, a33, a6, a8, a24, a26, a20, a23, a30, a37, a36, a29, a4, a21, a22, a1, a35, a31, a39, a40, a34, a15, a27, a17, a28, a10, a5, a16, a9, a13, a32, a18, a7, a2, a14, a38, a42]",572
graph_10,hierholze,a1,42,124550,1810,,"[a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35, a36, a37, a38, a39, a40, a41, a42, a39, a42, a40, a37, a40, a38, a41, a37, a42, a38, a35, a38, a36, a39, a35, a40, a36, a41, a35, a42, a36, a33, a36, a34, a37, a33, a38, a34, a39, a33, a40, a34, a41, a33, a42, a34, a31, a34, a32, a35, a31, a36, a32, a37, a31, a38, a32, a39, a31, a40, a32, a41, a31, a42, a32, a29, a32, a30, a33, a29, a34, a30, a35, a29, a36, a30, a37, a29, a38, a30, a39, a29, a40, a30, a41, a29, a42, a30, a27, a30, a28, a31, a27, a32, a28, a33, a27, a34, a28, a35, a27, a36, a28, a37, a27, a38, a28, a39, a27, a40, a28, a41, a27, a42, a28, a25, a28, a26, a29, a25, a30, a26, a31, a25, a32, a26, a33, a25, a34, a26, a35, a25, a36, a26, a37, a25, a38, a26, a39, a25, a40, a26, a41, a25, a42, a26, a23, a26, a24, a27, a23, a28, a24, a29, a23, a30, a24, a31, a23, a32, a24, a33, a23, a34, a24, a35, a23, a36, a24, a37, a23, a38, a24, a39, a23, a40, a24, a41, a23, a42, a24, a21, a24, a22, a25, a21, a26, a22, a27, a21, a28, a22, a29, a21, a30, a22, a31, a21, a32, a22, a33, a21, a34, a22, a35, a21, a36, a22, a37, a21, a38, a22, a39, a21, a40, a22, a41, a21, a42, a22, a19, a22, a20, a23, a19, a24, a20, a25, a19, a26, a20, a27, a19, a28, a20, a29, a19, a30, a20, a31, a19, a32, a20, a33, a19, a34, a20, a35, a19, a36, a20, a37, a19, a38, a20, a39, a19, a40, a20, a41, a19, a42, a20, a17, a20, a18, a21, a17, a22, a18, a23, a17, a24, a18, a25, a17, a26, a18, a27, a17, a28, a18, a29, a17, a30, a18, a31, a17, a32, a18, a33, a17, a34, a18, a35, a17, a36, a18, a37, a17, a38, a18, a39, a17, a40, a18, a41, a17, a42, a18, a15, a18, a16, a19, a15, a20, a16, a21, a15, a22, a16, a23, a15, a24, a16, a25, a15, a26, a16, a27, a15, a28, a16, a29, a15, a30, a16, a31, a15, a32, a16, a33, a15, a34, a16, a35, a15, a36, a16, a37, a15, a38, a16, a39, a15, a40, a16, a41, a15, a42, a16, a13, a16, a14, a17, a13, a18, a14, a19, a13, a20, a14, a21, a13, a22, a14, a23, a13, a24, a14, a25, a13, a26, a14, a27, a13, a28, a14, a29, a13, a30, a14, a31, a13, a32, a14, a33, a13, a34, a14, a35, a13, a36, a14, a37, a13, a38, a14, a39, a13, a40, a14, a41, a13, a42, a14, a11, a14, a12, a15, a11, a16, a12, a17, a11, a18, a12, a19, a11, a20, a12, a21, a11, a22, a12, a23, a11, a24, a12, a25, a11, a26, a12, a27, a11, a28, a12, a29, a11, a30, a12, a31, a11, a32, a12, a33, a11, a34, a12, a35, a11, a36, a12, a37, a11, a38, a12, a39, a11, a40, a12, a41, a11, a42, a12, a9, a12, a10, a13, a9, a14, a10, a15, a9, a16, a10, a17, a9, a18, a10, a19, a9, a20, a10, a21, a9, a22, a10, a23, a9, a24, a10, a25, a9, a26, a10, a27, a9, a28, a10, a29, a9, a30, a10, a31, a9, a32, a10, a33, a9, a34, a10, a35, a9, a36, a10, a37, a9, a38, a10, a39, a9, a40, a10, a41, a9, a42, a10, a7, a10, a8, a11, a7, a12, a8, a13, a7, a14, a8, a15, a7, a16, a8, a17, a7, a18, a8, a19, a7, a20, a8, a21, a7, a22, a8, a23, a7, a24, a8, a25, a7, a26, a8, a27, a7, a28, a8, a29, a7, a30, a8, a31, a7, a32, a8, a33, a7, a34, a8, a35, a7, a36, a8, a37, a7, a38, a8, a39, a7, a40, a8, a41, a7, a42, a8, a5, a8, a6, a9, a5, a10, a6, a11, a5, a12, a6, a13, a5, a14, a6, a15, a5, a16, a6, a17, a5, a18, a6, a19, a5, a20, a6, a21, a5, a22, a6, a23, a5, a24, a6, a25, a5, a26, a6, a27, a5, a28, a6, a29, a5, a30, a6, a31, a5, a32, a6, a33, a5, a34, a6, a35, a5, a36, a6, a37, a5, a38, a6, a39, a5, a40, a6, a41, a5, a42, a6, a3, a6, a4, a7, a3, a8, a4, a9, a3, a10, a4, a11, a3, a12, a4, a13, a3, a14, a4, a15, a3, a16, a4, a17, a3, a18, a4, a19, a3, a20, a4, a21, a3, a22, a4, a23, a3, a24, a4, a25, a3, a26, a4, a27, a3, a28, a4, a29, a3, a30, a4, a31, a3, a32, a4, a33, a3, a34, a4, a35, a3, a36, a4, a37, a3, a38, a4, a39, a3, a40, a4, a41, a3, a42, a4, a1, a4, a2, a5, a1, a6, a2, a7, a1, a8, a2, a9, a1, a10, a2, a11, a1, a12, a2, a13, a1, a14, a2, a15, a1, a16, a2, a17, a1, a18, a2, a19, a1, a20, a2, a21, a1, a22, a2, a23, a1, a24, a2, a25, a1, a26, a2, a27, a1, a28, a2, a29, a1, a30, a2, a31, a1, a32, a2, a33, a1, a34, a2, a35, a1, a36, a2, a37, a1, a38, a2, a39, a1, a40, a2, a41, a1, a42, a2]",60138
graph_10,hierholze,a2,42,126273,1810,,"[]",0
graph_10,hierholze,a3,42,127996,1810,,"[]",0
graph_10,hierholze,a4,42,129719,1810,,"[]",0
